Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,68165877,8732.150174416432,4285964,614534,1557385,199.50333360170123,74264,11983,
United States of America,Americas,14972356,45233.34,1408625,216360,283994,857.98,15512,2552,Community transmission
India,South-East Asia,9767371,7077.78,232407,31521,141772,102.73,3124,412,Clusters of cases
Brazil,Americas,6674999,31402.98,288212,51088,178159,838.16,4342,842,Community transmission
Russian Federation,Europe,2541199,17413.29,193798,26190,44718,306.43,3665,559,Clusters of cases
France,Europe,2269668,34771.65,78394,13713,55986,857.71,2840,828,Community transmission
Italy,Europe,1757394,29066.17,136493,14837,61240,1012.87,4879,634,Clusters of cases
The United Kingdom,Europe,1750245,25782.12,107155,12281,62033,913.78,2982,599,Community transmission
Spain,Europe,1702328,36409.71,36052,0,46646,997.67,598,0,Community transmission
Argentina,Americas,1469919,32523.37,37349,3610,40009,885.24,1081,121,Community transmission
Colombia,Americas,1384610,27211.7,59818,7510,38158,749.92,1224,163,Community transmission
Germany,Europe,1218524,14543.65,133781,20815,19932,237.9,2809,590,Clusters of cases
Mexico,Americas,1193255,9254.86,70893,11006,110874,859.94,4109,800,Community transmission
Poland,Europe,1076180,28435.31,76256,8310,20592,544.09,2993,411,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1072620,12770.36,83048,10223,51212,609.72,2222,295,Community transmission
Peru,Americas,976621,29619.84,11393,1505,36401,1104,370,77,Community transmission
Turkey,Europe,872093,10340.32,224673,33198,15314,181.58,1378,211,Community transmission
Ukraine,Europe,845343,19329.3,87079,12585,14204,324.78,1487,276,Community transmission
South Africa,Africa,821889,13857.82,29590,4011,22432,378.22,788,183,Community transmission
Belgium,Europe,594572,51302.1,10665,3,17507,1510.58,550,10,Community transmission
Indonesia,South-East Asia,592900,2167.64,43392,6058,18171,66.43,972,171,Community transmission
Iraq,Eastern Mediterranean,569873,14168.02,13145,1735,12501,310.8,161,24,Community transmission
Netherlands,Europe,569747,33250.73,42870,6139,9762,569.72,337,71,Community transmission
Chile,Americas,564778,29544.47,10880,1244,15690,820.77,252,10,Community transmission
Czechia,Europe,556927,52005.6,28453,5857,9136,853.12,729,100,Community transmission
Romania,Europe,524675,27273.28,45041,7439,12660,658.08,1130,213,Community transmission
Bangladesh,South-East Asia,484104,2939.5,14681,2159,6930,42.08,217,24,Community transmission
Philippines,Western Pacific,444164,4053.29,9807,1379,8677,79.18,241,7,Community transmission
Canada,Americas,429035,11367.53,45567,5981,12867,340.92,656,90,Community transmission
Pakistan,Eastern Mediterranean,426142,1929.18,22831,2963,8547,38.69,381,60,Clusters of cases
Morocco,Eastern Mediterranean,388184,10516.88,23994,4096,6427,174.12,442,57,Clusters of cases
Saudi Arabia,Eastern Mediterranean,359274,10319.85,1402,159,6002,172.4,83,13,Sporadic cases
Switzerland,Europe,357121,41263.62,27591,4246,5099,589.16,562,92,Community transmission
Israel,Europe,347144,40106.59,9961,1847,2929,338.4,56,7,Community transmission
Portugal,Europe,325071,31879.99,24609,0,5041,494.38,464,0,Clusters of cases
Austria,Europe,305688,33941.2,21694,2531,3907,433.8,711,80,Community transmission
Sweden,Europe,297732,29480.56,36673,3319,7200,712.92,103,2,Community transmission
Hungary,Europe,259588,26871.49,34379,3221,6280,650.08,1138,160,Community transmission
Jordan,Eastern Mediterranean,250219,24523.74,23011,3088,3206,314.22,352,44,Community transmission
Nepal,South-East Asia,244433,8389.15,8187,1056,1651,56.66,113,14,Clusters of cases
Serbia,Europe,234027,33606.39,50590,7818,2062,296.1,410,57,Community transmission
Ecuador,Americas,199228,11292.15,4352,476,13814,782.97,252,20,Community transmission
Panama,Americas,181166,41987.44,13855,1936,3241,751.14,143,29,Community transmission
Kazakhstan,Europe,180777,9627.73,4435,0,2542,135.38,65,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,180150,18214.63,8716,1313,598,60.46,18,2,Community transmission
Georgia,Europe,174383,43714.14,31007,4734,1614,404.6,272,38,Community transmission
Japan,Western Pacific,168573,1332.84,15746,2733,2465,19.49,252,45,Clusters of cases
Bulgaria,Europe,168165,24201.82,19390,3980,5156,742.04,968,146,Clusters of cases
Croatia,Europe,154852,37720.32,23510,2613,2298,559.77,437,65,Community transmission
Azerbaijan,Europe,154152,15203.6,28550,4387,1713,168.95,280,38,Clusters of cases
Belarus,Europe,150602,15937.86,12383,1649,1222,129.32,56,7,Community transmission
Dominican Republic,Americas,150161,13842.39,4964,531,2350,216.63,16,3,Community transmission
Costa Rica,Americas,147430,28941.22,7258,1009,1846,362.38,115,21,Community transmission
Bolivia (Plurinational State of),Americas,145846,12494.28,1036,189,9002,771.18,39,5,Community transmission
Kuwait,Eastern Mediterranean,145204,34001.07,1944,304,905,211.92,23,5,Community transmission
Armenia,Europe,144066,48617.68,6835,1138,2393,807.56,165,21,Community transmission
Lebanon,Eastern Mediterranean,140409,20571.41,9153,1274,1156,169.37,101,20,Community transmission
Qatar,Eastern Mediterranean,140353,48715.87,1097,150,240,83.3,1,1,Community transmission
Guatemala,Americas,127127,7095.9,3667,654,4311,240.63,120,25,Community transmission
Oman,Eastern Mediterranean,125490,24573.96,1345,164,1461,286.1,31,7,Community transmission
Egypt,Eastern Mediterranean,119702,1169.71,2978,421,6832,66.76,138,19,Clusters of cases
Slovakia,Europe,119232,21838.79,12049,1949,1046,191.59,178,28,Clusters of cases
Republic of Moldova,Europe,119204,29550.1,10341,1709,2460,609.82,137,22,Community transmission
Greece,Europe,118045,11325.38,10575,1324,3194,306.44,677,102,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,117233,22980.49,13659,1883,984,192.89,130,23,Community transmission
Ethiopia,Africa,113735,989.31,3181,0,1755,15.27,46,0,Community transmission
Honduras,Americas,112175,11325.54,3534,468,2952,298.04,25,2,Community transmission
Tunisia,Eastern Mediterranean,106856,9041.33,7576,1411,3717,314.5,358,49,Community transmission
Venezuela (Bolivarian Republic of),Americas,105384,3706.01,2763,942,928,32.63,27,9,Community transmission
